heliost_number,n.s,azimut_angle,x,y,power,net_power
5670,0.899966,6.96097,-10.5,-86,573.788,2.8832e+06
5671,0.840185,7.94349,12,-86,535.674,2.88373e+06
5672,0.903421,7.94349,-12,-86,575.991,2.88431e+06
5673,0.835788,8.9213,13.5,-86,532.871,2.88484e+06
5674,0.9068,8.9213,-13.5,-86,578.145,2.88542e+06
5675,0.831358,9.89392,15,-86,530.046,2.88595e+06
5676,0.9101,9.89392,-15,-86,580.249,2.88653e+06
5677,0.826897,10.8608,16.5,-86,527.202,2.88706e+06
5678,0.913321,10.8608,-16.5,-86,582.303,2.88764e+06
5679,0.82241,11.8215,18,-86,524.341,2.88816e+06
5680,0.916463,11.8215,-18,-86,584.306,2.88875e+06
5681,0.8179,12.7755,19.5,-86,521.465,2.88927e+06
5682,0.919524,12.7755,-19.5,-86,586.257,2.88985e+06
5683,0.813369,13.7223,21,-86,518.577,2.89037e+06
5684,0.922504,13.7223,-21,-86,588.157,2.89096e+06
5685,0.808823,14.6615,22.5,-86,515.678,2.89148e+06
5686,0.925403,14.6615,-22.5,-86,590.006,2.89207e+06
5687,0.804263,15.5928,24,-86,512.771,2.89258e+06
5688,0.928221,15.5928,-24,-86,591.802,2.89317e+06
5689,0.799694,16.5157,25.5,-86,509.858,2.89368e+06
5690,0.930958,16.5157,-25.5,-86,593.547,2.89427e+06
5691,0.795119,17.4299,27,-86,506.941,2.89478e+06
5692,0.933614,17.4299,-27,-86,595.241,2.89538e+06
5693,0.790541,18.335,28.5,-86,504.023,2.89588e+06
5694,0.93619,18.335,-28.5,-86,596.883,2.89648e+06
5695,0.785964,19.2307,30,-86,501.104,2.89698e+06
5696,0.938687,19.2307,-30,-86,598.475,2.89758e+06
5697,0.781389,20.1167,31.5,-86,498.188,2.89808e+06
5698,0.941104,20.1167,-31.5,-86,600.016,2.89868e+06
5699,0.776821,20.9929,33,-86,495.275,2.89917e+06
5700,0.943444,20.9929,-33,-86,601.508,2.89977e+06
5701,0.772262,21.8588,34.5,-86,492.368,2.90026e+06
