x_pos;power
-21.801;495.661
-21.701;495.833
-21.601;496.005
-21.501;496.178
-21.401;496.353
-21.301;496.529
-21.201;496.705
-21.101;496.884
-21.001;497.063
-20.901;497.243
-20.801;497.425
-20.701;497.607
-20.601;497.791
-20.501;497.976
-20.401;498.163
-20.301;498.35
-20.201;498.539
-20.101;498.729
-20.001;498.92
-19.901;499.113
-19.801;499.307
-19.701;499.502
-19.601;499.699
-19.501;499.896
-19.401;500.095
-19.301;500.296
-19.201;500.498
-19.101;500.701
-19.001;500.905
-18.901;501.111
-18.801;501.318
-18.701;501.527
-18.601;501.737
-18.501;501.949
-18.401;502.161
-18.301;502.376
-18.201;502.592
-18.101;502.809
-18.001;503.027
-17.901;503.248
-17.801;503.469
-17.701;503.692
-17.601;503.917
-17.501;504.143
-17.401;504.371
-17.301;504.6
-17.201;504.831
-17.101;505.064
-17.001;505.298
-16.901;505.533
-16.801;505.77
-16.701;506.009
-16.601;506.25
-16.501;506.491
-16.401;506.735
-16.301;506.98
-16.201;507.227
-16.101;507.476
-16.001;507.726
-15.901;507.978
-15.801;508.232
-15.701;508.488
-15.601;508.745
-15.501;509.004
-15.401;509.264
-15.301;509.527
-15.201;509.791
-15.101;510.057
-15.001;510.325
-14.901;510.594
-14.801;510.865
-14.701;511.138
-14.601;511.413
-14.501;511.69
-14.401;511.968
-14.301;512.249
-14.201;512.531
-14.101;512.815
-14.001;513.101
-13.901;513.389
-13.801;513.679
-13.701;513.97
-13.601;514.263
-13.501;514.559
-13.401;514.856
-13.301;515.155
-13.201;515.456
-13.101;515.759
-13.001;516.063
-12.901;516.37
-12.801;516.679
-12.701;516.989
-12.601;517.302
-12.501;517.616
-12.401;517.932
-12.301;518.25
-12.201;518.57
-12.101;518.892
-12.001;519.215
-11.901;519.541
-11.801;519.868
-11.701;520.198
-11.601;520.529
-11.501;520.862
-11.401;521.197
-11.301;521.534
-11.201;521.872
-11.101;522.213
-11.001;522.555
-10.901;522.899
-10.801;523.244
-10.701;523.592
-10.601;523.941
-10.501;524.292
-10.401;524.644
-10.301;524.999
-10.201;525.354
-10.101;525.712
-10.001;526.071
-9.90095;526.432
-9.80095;526.794
-9.70095;527.157
-9.60095;527.522
-9.50095;527.889
-9.40095;528.257
-9.30095;528.626
-9.20095;528.996
-9.10095;529.368
-9.00095;529.741
-8.90095;530.115
-8.80095;530.49
-8.70095;530.867
-8.60095;531.244
-8.50095;531.622
-8.40095;532.001
-8.30095;532.381
-8.20095;532.762
-8.10095;533.143
-8.00095;533.525
-7.90095;533.908
-7.80095;534.291
-7.70095;534.674
-7.60095;535.058
-7.50095;535.442
-7.40095;535.826
-7.30095;536.21
-7.20095;536.594
-7.10095;536.978
-7.00095;537.361
-6.90095;537.745
-6.80095;538.128
-6.70095;538.51
-6.60095;538.891
-6.50095;539.272
-6.40095;539.652
-6.30095;540.031
-6.20095;540.409
-6.10095;540.785
-6.00095;541.16
-5.90095;541.534
-5.80095;541.906
-5.70095;542.276
-5.60095;542.644
-5.50095;543.01
-5.40095;543.373
-5.30095;543.735
-5.20095;544.093
-5.10095;544.45
-5.00095;544.803
-4.90095;545.153
-4.80095;545.5
-4.70095;545.843
-4.60095;546.183
-4.50095;546.519
-4.40095;546.852
-4.30095;547.18
-4.20095;547.504
-4.10095;547.824
-4.00095;548.139
-3.90095;548.45
-3.80095;548.755
-3.70095;549.055
-3.60095;549.35
-3.50095;549.64
-3.40095;549.924
-3.30095;550.202
-3.20095;550.474
-3.10095;550.74
-3.00095;550.999
-2.90095;551.252
-2.80095;551.498
-2.70095;551.738
-2.60095;551.97
-2.50095;552.195
-2.40095;552.413
-2.30095;552.623
-2.20095;552.825
-2.10095;553.02
-2.00095;553.206
-1.90095;553.385
-1.80095;553.555
-1.70095;553.717
-1.60095;553.87
-1.50095;554.015
-1.40095;554.151
-1.30095;554.278
-1.20095;554.396
-1.10095;554.505
-1.00095;554.605
-0.900952;554.695
-0.800951;554.776
-0.700951;554.848
-0.600951;554.911
-0.500951;554.964
-0.400951;555.007
-0.300951;555.041
-0.200951;555.065
-0.100951;555.08
-0.000951426;555.084
0.0990486;555.08
0.199049;555.065
0.299049;555.041
0.399049;555.008
0.499049;554.965
0.599049;554.912
0.699049;554.85
0.799049;554.778
0.899049;554.697
0.999049;554.607
1.09905;554.507
1.19905;554.398
1.29905;554.28
1.39905;554.153
1.49905;554.018
1.59905;553.873
1.69905;553.72
1.79905;553.558
1.89905;553.388
1.99905;553.21
2.09905;553.023
2.19905;552.829
2.29905;552.627
2.39905;552.417
2.49905;552.199
2.59905;551.974
2.69905;551.742
2.79905;551.503
2.89905;551.257
2.99905;551.004
3.09905;550.745
3.19905;550.479
3.29905;550.207
3.39905;549.929
3.49905;549.645
3.59905;549.356
3.69905;549.061
3.79905;548.761
3.89905;548.455
3.99905;548.145
4.09905;547.83
4.19905;547.51
4.29905;547.186
4.39905;546.858
4.49905;546.526
4.59905;546.19
4.69905;545.85
4.79905;545.506
4.89905;545.159
4.99905;544.809
5.09905;544.456
5.19905;544.1
5.29905;543.742
5.39905;543.38
5.49905;543.017
5.59905;542.651
5.69905;542.283
5.79905;541.913
5.89905;541.541
5.99905;541.168
6.09905;540.792
6.19905;540.416
6.29905;540.038
6.39904;539.659
6.49904;539.28
6.59904;538.899
6.69904;538.517
6.79904;538.135
6.89904;537.752
6.99904;537.369
7.09904;536.985
7.19904;536.601
7.29904;536.217
7.39904;535.833
7.49904;535.449
7.59904;535.065
7.69904;534.681
7.79904;534.298
7.89904;533.915
7.99904;533.533
8.09904;533.151
8.19904;532.769
8.29904;532.388
8.39904;532.009
8.49905;531.629
8.59905;531.251
8.69905;530.874
8.79905;530.498
8.89905;530.122
8.99905;529.748
9.09905;529.375
9.19905;529.003
9.29905;528.633
9.39905;528.264
9.49905;527.896
9.59905;527.529
9.69905;527.164
9.79905;526.801
9.89905;526.438
9.99905;526.078
10.0991;525.719
10.1991;525.361
10.2991;525.005
10.3991;524.651
10.4991;524.299
10.5991;523.948
10.6991;523.598
10.7991;523.251
10.8991;522.905
10.9991;522.561
11.0991;522.219
11.1991;521.879
11.2991;521.54
11.3991;521.203
11.4991;520.868
11.5991;520.535
11.6991;520.204
11.7991;519.875
11.8991;519.547
11.9991;519.222
12.0991;518.898
12.1991;518.576
12.2991;518.256
12.3991;517.938
12.4991;517.622
12.5991;517.307
12.6991;516.995
