xpos;power;ReflPercent
-47.4008;807.605;74.4968
-47.3008;807.686;74.5043
-47.2008;807.767;74.5118
-47.1008;807.849;74.5193
-47.0008;807.931;74.5269
-46.9008;808.013;74.5345
-46.8008;808.096;74.5421
-46.7008;808.178;74.5497
-46.6008;808.261;74.5574
-46.5008;808.345;74.5651
-46.4008;808.429;74.5728
-46.3008;808.513;74.5806
-46.2008;808.598;74.5884
-46.1008;808.682;74.5962
-46.0008;808.768;74.6041
-45.9008;808.853;74.612
-45.8008;808.939;74.6199
-45.7008;809.025;74.6278
-45.6008;809.112;74.6358
-45.5008;809.198;74.6438
-45.4008;809.286;74.6519
-45.3008;809.373;74.6599
-45.2008;809.461;74.6681
-45.1008;809.549;74.6762
-45.0008;809.638;74.6844
-44.9008;809.727;74.6926
-44.8008;809.816;74.7008
-44.7008;809.906;74.7091
-44.6008;809.996;74.7174
-44.5008;810.086;74.7257
-44.4008;810.177;74.7341
-44.3008;810.268;74.7425
-44.2009;810.36;74.751
-44.1009;810.452;74.7595
-44.0009;810.544;74.768
-43.9009;810.637;74.7765
-43.8009;810.73;74.7851
-43.7009;810.823;74.7937
-43.6009;810.917;74.8024
-43.5009;811.011;74.8111
-43.4009;811.106;74.8198
-43.3009;811.201;74.8285
-43.2009;811.296;74.8373
-43.1009;811.392;74.8462
-43.0009;811.488;74.855
-42.9009;811.585;74.8639
-42.8009;811.682;74.8729
-42.7009;811.779;74.8819
-42.6009;811.877;74.8909
-42.5009;811.975;74.9
-42.4009;812.074;74.9091
-42.3009;812.173;74.9182
-42.2009;812.272;74.9274
-42.1009;812.372;74.9366
-42.0009;812.472;74.9458
-41.9009;812.573;74.9551
-41.8009;812.674;74.9645
-41.7009;812.776;74.9738
-41.6009;812.878;74.9833
-41.5009;812.981;74.9927
-41.4009;813.083;75.0022
-41.3009;813.187;75.0117
-41.2009;813.291;75.0213
-41.1009;813.395;75.0309
-41.0009;813.5;75.0406
-40.9009;813.605;75.0503
-40.8009;813.71;75.06
-40.7009;813.816;75.0698
-40.6009;813.923;75.0796
-40.5009;814.03;75.0895
-40.4009;814.137;75.0994
-40.3009;814.245;75.1094
-40.2009;814.354;75.1194
-40.1009;814.463;75.1294
-40.0009;814.572;75.1395
-39.9009;814.682;75.1497
-39.8009;814.792;75.1598
