altitude;J;Percent_transm
866;36.7386;100.323
867;36.7387;100.324
868;36.7388;100.324
869;36.739;100.324
870;36.7391;100.325
871;36.7392;100.325
872;36.7394;100.325
873;36.7395;100.326
874;36.7396;100.326
875;36.7398;100.327
876;36.7399;100.327
877;36.74;100.327
878;36.7402;100.328
879;36.7403;100.328
880;36.7404;100.328
881;36.7406;100.329
882;36.7407;100.329
883;36.7408;100.329
884;36.741;100.33
885;36.7411;100.33
886;36.7412;100.331
887;36.7414;100.331
888;36.7415;100.331
889;36.7416;100.332
890;36.7418;100.332
891;36.7419;100.332
892;36.742;100.333
893;36.7422;100.333
894;36.7423;100.333
895;36.7424;100.334
896;36.7425;100.334
897;36.7427;100.335
898;36.7428;100.335
899;36.7429;100.335
900;36.7431;100.336
901;36.7432;100.336
902;36.7433;100.336
903;36.7435;100.337
904;36.7436;100.337
905;36.7437;100.337
906;36.7438;100.338
907;36.744;100.338
908;36.7441;100.338
909;36.7442;100.339
910;36.7444;100.339
911;36.7445;100.34
912;36.7446;100.34
913;36.7448;100.34
914;36.7449;100.341
915;36.745;100.341
916;36.7452;100.341
917;36.7453;100.342
918;36.7454;100.342
919;36.7456;100.342
920;36.7457;100.343
921;36.7458;100.343
922;36.7459;100.343
923;36.7461;100.344
924;36.7462;100.344
925;36.7463;100.344
926;36.7464;100.345
927;36.7466;100.345
928;36.7467;100.346
929;36.7469;100.346
930;36.747;100.346
931;36.7471;100.347
932;36.7472;100.347
933;36.7473;100.347
934;36.7475;100.348
935;36.7476;100.348
936;36.7477;100.348
937;36.7479;100.349
938;36.748;100.349
939;36.7481;100.349
940;36.7483;100.35
941;36.7484;100.35
942;36.7485;100.35
943;36.7487;100.351
944;36.7488;100.351
945;36.7489;100.352
946;36.7491;100.352
947;36.7492;100.352
948;36.7493;100.353
949;36.7495;100.353
950;36.7496;100.353
951;36.7497;100.354
952;36.7498;100.354
953;36.7499;100.354
954;36.7501;100.355
955;36.7502;100.355
956;36.7503;100.355
957;36.7505;100.356
958;36.7506;100.356
959;36.7507;100.356
960;36.7508;100.357
961;36.751;100.357
962;36.7511;100.358
963;36.7513;100.358
964;36.7514;100.358
965;36.7515;100.359
966;36.7516;100.359
967;36.7518;100.359
968;36.7519;100.36
969;36.752;100.36
970;36.7521;100.36
971;36.7523;100.361
972;36.7524;100.361
973;36.7525;100.361
974;36.7527;100.362
975;36.7528;100.362
976;36.7529;100.363
977;36.7531;100.363
978;36.7532;100.363
979;36.7533;100.364
980;36.7534;100.364
981;36.7536;100.364
982;36.7537;100.365
983;36.7538;100.365
984;36.7539;100.365
985;36.7541;100.366
986;36.7542;100.366
987;36.7543;100.366
988;36.7545;100.367
989;36.7546;100.367
990;36.7547;100.367
991;36.7548;100.368
992;36.755;100.368
993;36.7551;100.368
994;36.7552;100.369
995;36.7553;100.369
996;36.7554;100.369
997;36.7556;100.37
998;36.7557;100.37
999;36.7559;100.371
1000;36.756;100.371
